2025-02-03 15:49:55 status unpacked vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 upgrade vim-common:all 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status half-installed vim-common:all 2:8.2.3995-1ubuntu2.21
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 startup packages configure
2025-02-03 15:49:55 configure vim-common:all 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-common:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim-runtime:all 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-runtime:all 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim:amd64 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 configure vim-tiny:amd64 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:49:55 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status half-configured vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 status installed vim-tiny:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:49:55 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-03 15:49:55 status half-configured man-db:amd64 2.10.2-1
2025-02-03 15:49:56 status installed man-db:amd64 2.10.2-1
2025-02-03 15:50:00 startup archives unpack
2025-02-03 15:50:00 upgrade rsync:amd64 3.2.7-0ubuntu0.22.04.3 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:00 status half-configured rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status unpacked rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status half-installed rsync:amd64 3.2.7-0ubuntu0.22.04.3
2025-02-03 15:50:00 status triggers-pending man-db:amd64 2.10.2-1
2025-02-03 15:50:00 status unpacked rsync:amd64 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:00 startup packages configure
2025-02-03 15:50:00 configure rsync:amd64 3.2.7-0ubuntu0.22.04.4 <none>
2025-02-03 15:50:00 status unpacked rsync:amd64 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:00 status half-configured rsync:amd64 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:01 status installed rsync:amd64 3.2.7-0ubuntu0.22.04.4
2025-02-03 15:50:01 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-03 15:50:01 status half-configured man-db:amd64 2.10.2-1
2025-02-03 15:50:01 status installed man-db:amd64 2.10.2-1
2025-02-03 15:50:05 startup archives unpack
2025-02-03 15:50:05 upgrade xxd:amd64 2:8.2.3995-1ubuntu2.21 2:8.2.3995-1ubuntu2.22
2025-02-03 15:50:05 status half-configured xxd:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:50:05 status unpacked xxd:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:50:05 status half-installed xxd:amd64 2:8.2.3995-1ubuntu2.21
2025-02-03 15:50:06 status triggers-pending man-db:amd64 2.10.2-1
2025-02-03 15:50:06 status unpacked xxd:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:50:06 startup packages configure
2025-02-03 15:50:06 configure xxd:amd64 2:8.2.3995-1ubuntu2.22 <none>
2025-02-03 15:50:06 status unpacked xxd:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:50:06 status half-configured xxd:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:50:06 status installed xxd:amd64 2:8.2.3995-1ubuntu2.22
2025-02-03 15:50:06 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-03 15:50:06 status half-configured man-db:amd64 2.10.2-1
2025-02-03 15:50:06 status installed man-db:amd64 2.10.2-1
2025-02-04 15:44:37 startup archives unpack
2025-02-04 15:44:37 upgrade tzdata:all 2024a-0ubuntu0.22.04.1 2024b-0ubuntu0.22.04
2025-02-04 15:44:37 status half-configured tzdata:all 2024a-0ubuntu0.22.04.1
2025-02-04 15:44:37 status unpacked tzdata:all 2024a-0ubuntu0.22.04.1
2025-02-04 15:44:37 status half-installed tzdata:all 2024a-0ubuntu0.22.04.1
2025-02-04 15:44:37 status unpacked tzdata:all 2024b-0ubuntu0.22.04
2025-02-04 15:44:37 startup packages configure
2025-02-04 15:44:37 configure tzdata:all 2024b-0ubuntu0.22.04 <none>
2025-02-04 15:44:37 status unpacked tzdata:all 2024b-0ubuntu0.22.04
2025-02-04 15:44:37 status half-configured tzdata:all 2024b-0ubuntu0.22.04
2025-02-04 15:44:37 status installed tzdata:all 2024b-0ubuntu0.22.04
2025-02-04 15:44:42 startup archives unpack
2025-02-04 15:44:43 install linux-headers-5.15.0-131:all <none> 5.15.0-131.141
2025-02-04 15:44:43 status half-installed linux-headers-5.15.0-131:all 5.15.0-131.141
2025-02-04 15:44:46 status unpacked linux-headers-5.15.0-131:all 5.15.0-131.141
2025-02-04 15:44:46 install linux-headers-5.15.0-131-generic:amd64 <none> 5.15.0-131.141
2025-02-04 15:44:46 status half-installed linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:47 status unpacked linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:47 install linux-modules-5.15.0-131-generic:amd64 <none> 5.15.0-131.141
2025-02-04 15:44:47 status half-installed linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:48 status unpacked linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:48 install linux-image-5.15.0-131-generic:amd64 <none> 5.15.0-131.141
2025-02-04 15:44:48 status half-installed linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:48 status unpacked linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:48 upgrade linux-virtual:amd64 5.15.0.130.128 5.15.0.131.129
2025-02-04 15:44:48 status half-configured linux-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status half-installed linux-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:48 upgrade linux-image-virtual:amd64 5.15.0.130.128 5.15.0.131.129
2025-02-04 15:44:48 status half-configured linux-image-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-image-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status half-installed linux-image-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-image-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:48 upgrade linux-headers-virtual:amd64 5.15.0.130.128 5.15.0.131.129
2025-02-04 15:44:48 status half-configured linux-headers-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-headers-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status half-installed linux-headers-virtual:amd64 5.15.0.130.128
2025-02-04 15:44:48 status unpacked linux-headers-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 upgrade linux-headers-generic:amd64 5.15.0.130.128 5.15.0.131.129
2025-02-04 15:44:49 status half-configured linux-headers-generic:amd64 5.15.0.130.128
2025-02-04 15:44:49 status unpacked linux-headers-generic:amd64 5.15.0.130.128
2025-02-04 15:44:49 status half-installed linux-headers-generic:amd64 5.15.0.130.128
2025-02-04 15:44:49 status unpacked linux-headers-generic:amd64 5.15.0.131.129
2025-02-04 15:44:49 startup packages configure
2025-02-04 15:44:49 configure linux-headers-5.15.0-131:all 5.15.0-131.141 <none>
2025-02-04 15:44:49 status unpacked linux-headers-5.15.0-131:all 5.15.0-131.141
2025-02-04 15:44:49 status half-configured linux-headers-5.15.0-131:all 5.15.0-131.141
2025-02-04 15:44:49 status installed linux-headers-5.15.0-131:all 5.15.0-131.141
2025-02-04 15:44:49 configure linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141 <none>
2025-02-04 15:44:49 status unpacked linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status half-configured linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status installed linux-headers-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 configure linux-headers-generic:amd64 5.15.0.131.129 <none>
2025-02-04 15:44:49 status unpacked linux-headers-generic:amd64 5.15.0.131.129
2025-02-04 15:44:49 status half-configured linux-headers-generic:amd64 5.15.0.131.129
2025-02-04 15:44:49 status installed linux-headers-generic:amd64 5.15.0.131.129
2025-02-04 15:44:49 configure linux-headers-virtual:amd64 5.15.0.131.129 <none>
2025-02-04 15:44:49 status unpacked linux-headers-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 status half-configured linux-headers-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 status installed linux-headers-virtual:amd64 5.15.0.131.129
